region_name,misclassification_rate_rest,misclassification_rate_task,error_increase
LH_VisPeri_ExStrSup_2,0.017857142857142905,0.030000000000000027,0.012142857142857122
RH_SomMotA_4,0.049107142857142905,0.06000000000000005,0.010892857142857149
RH_SomMotA_3,0.0803571428571429,0.08999999999999997,0.009642857142857064
RH_SomMotA_1,0.022321428571428603,0.030000000000000027,0.0076785714285714235
LH_DorsAttnB_PostC_2,0.0669642857142857,0.06999999999999995,0.0030357142857142527
LH_ContA_IPS_1,0.0669642857142857,0.06999999999999995,0.0030357142857142527
RH_DorsAttnB_PostC_2,0.1026785714285714,0.10499999999999998,0.0023214285714285854
RH_DefaultB_PFCd_1,0.0848214285714286,0.08499999999999996,0.00017857142857136132
LH_DorsAttnB_PostC_3,0.0714285714285714,0.06999999999999995,-0.0014285714285714457
RH_LimbicB_OFC_1,0.1071428571428571,0.10499999999999998,-0.002142857142857113
LH_LimbicB_OFC_2,0.0982142857142857,0.09499999999999997,-0.003214285714285725
RH_SomMotA_6,0.049107142857142905,0.04500000000000004,-0.004107142857142865
RH_DefaultA_PFCm_2,0.4017857142857143,0.395,-0.006785714285714284
LH_DefaultB_PFCd_3,0.0669642857142857,0.06000000000000005,-0.006964285714285645
LH_SalVentAttnA_ParMed_1,0.044642857142857095,0.03500000000000003,-0.009642857142857064
LH_DorsAttnA_SPL_1,0.1116071428571429,0.09999999999999998,-0.011607142857142927
LH_DorsAttnB_PostC_4,0.0580357142857143,0.04500000000000004,-0.013035714285714262
RH_SomMotA_5,0.1071428571428571,0.08999999999999997,-0.017142857142857126
RH_SomMotA_8,0.0848214285714286,0.06499999999999995,-0.019821428571428656
LH_ContB_IPL_1,0.0535714285714286,0.030000000000000027,-0.023571428571428577
LH_ContB_PFClv_1,0.1205357142857143,0.08499999999999996,-0.03553571428571434
