region_i_idx,region_j_idx,region_i,region_j,network_i,network_j,hemisphere_i,hemisphere_j,asymmetry,i_to_j_rate,j_to_i_rate,asymmetry_ratio
52,217,LH_LimbicA_TempPole_1,pHIP-lh,LimbicA,Hippocampus_post,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
52,218,LH_LimbicA_TempPole_1,lAMY-lh,LimbicA,Amygdala_lat,left,left,0.008928571428571428,0.017857142857142856,0.008928571428571428,2.0
53,54,LH_LimbicA_TempPole_2,LH_LimbicA_TempPole_3,LimbicA,LimbicA,left,left,0.008928571428571428,0.013392857142857142,0.004464285714285714,3.0
90,93,LH_DefaultB_PFCd_4,LH_DefaultB_PFCv_3,DefaultB,DefaultB,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
92,143,LH_DefaultB_PFCv_2,RH_SalVentAttnA_Ins_1,DefaultB,SalVentAttnA,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
92,186,LH_DefaultB_PFCv_2,RH_DefaultA_PFCm_1,DefaultB,DefaultA,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
92,187,LH_DefaultB_PFCv_2,RH_DefaultA_PFCm_2,DefaultB,DefaultA,left,right,0.008928571428571428,0.013392857142857142,0.004464285714285714,3.0
92,211,LH_DefaultB_PFCv_2,aGP-rh,DefaultB,Pallidum_ant,left,right,0.008928571428571428,0.013392857142857142,0.004464285714285714,3.0
94,153,LH_DefaultB_PFCv_4,RH_SalVentAttnB_Ins_1,DefaultB,SalVentAttnB,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
95,132,LH_DefaultC_IPL_1,RH_DorsAttnA_SPL_1,DefaultC,DorsAttnA,left,right,-0.008928571428571428,0.0,0.008928571428571428,0.0
95,133,LH_DefaultC_IPL_1,RH_DorsAttnA_SPL_2,DefaultC,DorsAttnA,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
98,131,LH_TempPar_1,RH_DorsAttnA_ParOcc_1,TempPar,DorsAttnA,left,right,0.008928571428571428,0.013392857142857142,0.004464285714285714,3.0
99,183,LH_TempPar_2,RH_DefaultA_IPL_1,TempPar,DefaultA,left,right,-0.008928571428571428,0.0,0.008928571428571428,0.0
99,199,LH_TempPar_2,RH_TempPar_4,TempPar,TempPar,left,right,0.008928571428571428,0.017857142857142856,0.008928571428571428,2.0
99,203,LH_TempPar_2,mAMY-rh,TempPar,Amygdala_med,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
99,220,LH_TempPar_2,THA-DP-lh,TempPar,Thalamus_DP,left,left,-0.008928571428571428,0.0,0.008928571428571428,0.0
101,116,RH_VisCent_ExStr_2,RH_SomMotA_5,VisCent,SomMotA,right,right,0.008928571428571428,0.008928571428571428,0.0,inf
103,104,RH_VisCent_ExStr_3,RH_VisCent_ExStr_4,VisCent,VisCent,right,right,-0.008928571428571428,0.0,0.008928571428571428,0.0
103,227,RH_VisCent_ExStr_3,aGP-lh,VisCent,Pallidum_ant,right,left,0.008928571428571428,0.008928571428571428,0.0,inf
111,210,RH_VisPeri_ExStrSup_3,pGP-rh,VisPeri,Pallidum_post,right,right,0.008928571428571428,0.008928571428571428,0.0,inf
112,140,RH_SomMotA_1,RH_DorsAttnB_FEF_1,SomMotA,DorsAttnB,right,right,0.008928571428571428,0.008928571428571428,0.0,inf
113,199,RH_SomMotA_2,RH_TempPar_4,SomMotA,TempPar,right,right,-0.008928571428571428,0.0,0.008928571428571428,0.0
113,226,RH_SomMotA_2,pGP-lh,SomMotA,Pallidum_post,right,left,0.008928571428571428,0.008928571428571428,0.0,inf
55,187,LH_LimbicA_TempPole_4,RH_DefaultA_PFCm_2,LimbicA,DefaultA,left,right,-0.008928571428571428,0.008928571428571428,0.017857142857142856,0.5
55,208,LH_LimbicA_TempPole_4,NAc-shell-rh,LimbicA,Accumbens_shell,left,right,-0.008928571428571428,0.0,0.008928571428571428,0.0
114,147,RH_SomMotA_3,RH_SalVentAttnA_ParMed_1,SomMotA,SalVentAttnA,right,right,0.008928571428571428,0.008928571428571428,0.0,inf
